[4279, 2350, 1222, 627, 496, 1871, 8606, 12906, 12623, 13990, 14540, 14266, 14629, 16143, 15163, 15379, 14685, 14150, 13259, 14675, 15059, 13683, 10808, 6593]
[3879, 2161, 1111, 561, 481, 1940, 8369, 12076, 12106, 13614, 14425, 14228, 14194, 15734, 14824, 15224, 15093, 13028, 11655, 13264, 13794, 12066, 9342, 5909]
[3824, 2023, 1092, 624, 613, 2278, 9137, 13400, 13752, 15011, 15974, 15474, 15764, 17442, 17353, 18184, 16569, 15173, 14489, 15791, 16901, 15821, 13268, 9124]
[6110, 3784, 2211, 1200, 1148, 3363, 6671, 10416, 14474, 15485, 15827, 15812, 16510, 17112, 17154, 16028, 15424, 16356, 14421, 13642, 13773, 13356, 9956, 6122]
[3940, 2108, 1209, 754, 941, 3620, 6843, 8433, 10521, 12278, 12767, 13207, 13824, 15023, 14782, 13695, 14044, 14341, 13149, 14515, 13282, 11416, 8955, 5612]
[3419, 1865, 1018, 674, 526, 1773, 4421, 8115, 10745, 11867, 13083, 14019, 14380, 15496, 16155, 17685, 16634, 16300, 14463, 13820, 13663, 11851, 8833, 5981]
[3387, 1702, 846, 412, 491, 2349, 9303, 13390, 13660, 15353, 15236, 15593, 15856, 17512, 16129, 16322, 15676, 13974, 12349, 14006, 14307, 12619, 9771, 5674]
[3292, 1716, 848, 530, 458, 1996, 8754, 13226, 13333, 15082, 15376, 14645, 14342, 16457, 15447, 15821, 14690, 14128, 13415, 15028, 15772, 14344, 10977, 6752]
[4005, 2103, 1162, 552, 498, 1970, 9019, 13315, 13407, 14908, 15336, 15151, 14755, 16953, 15830, 16329, 15488, 14042, 13717, 15538, 15843, 14509, 11164, 6881]
[3896, 2256, 1115, 600, 472, 2284, 9433, 14166, 14048, 15534, 16473, 16101, 16037, 17979, 17634, 17978, 16949, 15459, 14407, 16320, 17790, 16815, 14389, 10297]
[6726, 4178, 2362, 1272, 831, 2554, 6134, 11644, 16497, 17212, 17547, 17616, 17943, 18456, 18082, 17703, 17907, 17994, 15837, 15407, 16826, 15568, 12658, 8751]
[5154, 2953, 2296, 1066, 660, 1623, 3917, 8121, 12745, 14746, 15722, 16409, 16724, 17743, 17673, 16936, 16882, 16996, 15067, 15134, 15598, 14031, 10691, 6307]
